NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3734072,33,15,41769.6,2727.767,1378,520,0,68,558,20,143.7667
3734082,61,15,136111,7955.5,3006,801.6667,75,80,0,2240,1552.8333
3734112,29,15,32574,1927.583,575,130,108.333,10,97,368.3333,335.9167
3734142,40,12,85164.2,6309.267,1826.333,1040,570,246,98,43.3333,595.9333
3734172,80,12,12300,1085,289.667,325.3333,400,70,0,0,0
3734182,75,13,39863,1946.833,280.333,432,80,102,427,252,229.5
3734212,36,12,41833,3537.917,1284,433.3333,1002,131,0,268,386.25
3734232,23,13,33000,1767.417,872,216.6667,65,30,0,0,210.4167
3734242,46,15,130615,9258,2068,781.6667,549.333,549,78,451,997.6667
3734262,60,13,23265,1491.417,270,436.6667,468.667,6,0,135.6667,159.4167
3734282,39,16,143274,7502.833,2983.25,931.6667,165,39,0,650,1239.25
3734302,28,15,120536,6476.583,1899,606.6667,883,436,294,705,1472.9167
3734312,41,11,22289,1472.083,817.333,303.3333,150,0,86.6667,0,114.75
3734322,33,13,26127,3033.417,1812.667,346.6667,100,82,0,303.3333,170.4167
3734342,30,15,61151,4996,1774.667,455,710.333,485,35,856.6667,679.3333
3734352,48,12,44169.8,1746.3,915,368.3333,17.333,71,0,6,186.9667
3734382,28,13,28659,4014.917,1370,585,1364,9,486,0,82.9167
3734392,39,13,113954.6,5568.867,1647.5,1040,292,190,0,52,1517.7
3734412,52,14,52204.8,4056.029,2287.25,455,80,54,0,0,1036.4456
3734432,39,14,28315,1590.433,574,411.6667,160,0,0,130,155.4333
3734442,30,14,31679,2472.583,981,164.6667,833,232,40,0,184.9167
3734482,45,10,100140.4,9329.283,2865,1410,2671.667,1066,277,171.6667,771.2833
3734562,73,16,79135,4240.5,1043,520,400,318,0,246,1489.5
3734583,21,13,7105,1052.25,635,143,46.667,40,0,0,45.9167
3734592,74,13,36862,2857.667,481.333,433.3333,1297.333,0,13,513,95.6667
3734632,59,13,175076,5648.167,1951,1645.3333,43.333,99,0,357.6667,1139.5
3734662,38,14,35306.4,3093.883,1722,866.6667,100,0,0,193.3333,205.2167
3734672,50,12,77689.8,3520.779,1131.333,390,958,0,0,0,1036.4456
